Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$,description,predicted_category,corrected_category
1/19/2026,,UBER CANADA/UBERTRIP TORONTO,,-16.17,,UBER CANADA/UBERTRIP TORONTO,Transportation,
1/20/2026,,UBER CANADA/UBERTRIP TORONTO,,-14.1,,UBER CANADA/UBERTRIP TORONTO,Transportation,
1/21/2026,,LYFT   *RIDE WED 9AM VANCOUVER,,-12.0,,LYFT   *RIDE WED 9AM VANCOUVER,Transportation,
1/23/2026,,LYFT   *RIDE FRI 10AM VANCOUVER,,-11.16,,LYFT   *RIDE FRI 10AM VANCOUVER,Transportation,
1/28/2026,,HAMILTON BIKE SHARE/SO HAMILTON,,-18.59,,HAMILTON BIKE SHARE/SO HAMILTON,Transportation,
2/4/2026,,LYFT   *RIDE WED 9AM VANCOUVER,,-9.57,,LYFT   *RIDE WED 9AM VANCOUVER,Transportation,
2/6/2026,,LYFT   *RIDE FRI 10AM VANCOUVER,,-10.97,,LYFT   *RIDE FRI 10AM VANCOUVER,Transportation,
2/11/2026,,UBER *TRIP HELP.UBER.COM Toronto,,-14.5,,UBER *TRIP HELP.UBER.COM Toronto,Transportation,
2/15/2026,,SHELL C22428 VAUGHAN,,-85.54,,SHELL C22428 VAUGHAN,Transportation,
2/16/2026,,DOLLARAMA # 600 VAUGHAN,,-9.04,,DOLLARAMA # 600 VAUGHAN,Shopping / Personal Care,
1/5/2026,,MAC - ATHLETICS HAMILTON,,-57.99,,MAC - ATHLETICS HAMILTON,Health,
1/6/2026,,SUTHERLAND'S PHARM 509 MARKHAM,,-4.17,,SUTHERLAND'S PHARM 509 MARKHAM,Health,
2/5/2026,,MAC - ATHLETICS HAMILTON,,-115.99,,MAC - ATHLETICS HAMILTON,Health,
1/7/2026,,FORTINOS HAMILTON,,-14.45,,FORTINOS HAMILTON,Groceries,
1/13/2026,,FORTINOS HAMILTON,,-45.75,,FORTINOS HAMILTON,Groceries,
1/18/2026,,FORTINOS HAMILTON,,-27.46,,FORTINOS HAMILTON,Groceries,
1/20/2026,,FORTINOS HAMILTON,,-2.51,,FORTINOS HAMILTON,Groceries,
1/24/2026,,FORTINOS HAMILTON,,-49.44,,FORTINOS HAMILTON,Groceries,
1/25/2026,,FORTINOS HAMILTON,,-38.41,,FORTINOS HAMILTON,Groceries,
2/5/2026,,FORTINOS HAMILTON,,-7.36,,FORTINOS HAMILTON,Groceries,
2/8/2026,,FORTINOS HAMILTON,,-38.63,,FORTINOS HAMILTON,Groceries,
1/10/2026,,STEEL PEAK PICKERING,,-28.25,,STEEL PEAK PICKERING,Entertainment,
1/16/2026,,BLUE MOUNTAIN RESERVAT BLUE MOUNTAIN,,-147.23,,BLUE MOUNTAIN RESERVAT BLUE MOUNTAIN,Entertainment,
1/23/2026,,CANNABIS SUPPLY CO. HAMILTON,,-5.03,,CANNABIS SUPPLY CO. HAMILTON,Entertainment,
2/1/2026,,TOPROCK CLIMBING BRAMPTON,,-0.75,,TOPROCK CLIMBING BRAMPTON,Entertainment,
2/1/2026,,TOPROCK CLIMBING BRAMPTON,,-22.6,,TOPROCK CLIMBING BRAMPTON,Entertainment,
2/16/2026,,STEEL PEAK PICKERING,,-28.25,,STEEL PEAK PICKERING,Entertainment,
2/17/2026,,HUB CLIMBING MARKHAM RICHMOND HILL,,-64.75,,HUB CLIMBING MARKHAM RICHMOND HILL,Entertainment,
2/18/2026,,TOPROCK CLIMBING BRAMPTON,,-23.35,,TOPROCK CLIMBING BRAMPTON,Entertainment,
2/21/2026,,Whistler Blackcomb WHISTLER,,-21.0,,Whistler Blackcomb WHISTLER,Entertainment,
1/3/2026,,CHIPOTLE #2933 MAPLE,,-31.98,,CHIPOTLE #2933 MAPLE,Dining,
1/6/2026,,MICHA MILKTEA HAMILTON,,-7.9,,MICHA MILKTEA HAMILTON,Dining,
1/7/2026,,FLORA PIZZERIA HAMILTON,,-16.95,,FLORA PIZZERIA HAMILTON,Dining,
1/7/2026,,WHITE LOTUS RESTAURANT HAMILTON,,-27.12,,WHITE LOTUS RESTAURANT HAMILTON,Dining,
1/10/2026,,TST-Piano Piano Toronto,,-48.0,,TST-Piano Piano Toronto,Dining,
1/10/2026,,JAITLEY'S DESSERT CAFE BRAMPTON,,-20.34,,JAITLEY'S DESSERT CAFE BRAMPTON,Dining,
1/10/2026,,TST-bb.q Chicken Canad Vaughan,,-56.5,,TST-bb.q Chicken Canad Vaughan,Dining,
1/10/2026,,Molly Tea Downtown Toronto,,-9.89,,Molly Tea Downtown Toronto,Dining,
1/11/2026,,SQ *6IXTY WINGS MCVEAN Brampton,,-40.67,,SQ *6IXTY WINGS MCVEAN Brampton,Dining,
1/14/2026,,FLORA PIZZERIA HAMILTON,,-16.95,,FLORA PIZZERIA HAMILTON,Dining,
1/16/2026,,MIDORI RAMEN RICHMOND HI RICHMOND HILL,,-49.36,,MIDORI RAMEN RICHMOND HI RICHMOND HILL,Dining,
1/16/2026,,FLORA PIZZERIA HAMILTON,,-18.65,,FLORA PIZZERIA HAMILTON,Dining,
1/17/2026,,TIM HORTONS #153 BARRIE,,-3.45,,TIM HORTONS #153 BARRIE,Dining,
1/18/2026,,HAIDILAO HOTPOT MISSISSAUGA,,-73.14,,HAIDILAO HOTPOT MISSISSAUGA,Dining,
1/18/2026,,COFFEE BRICK HAMILTON,,-7.68,,COFFEE BRICK HAMILTON,Dining,
1/19/2026,,ALIBI COFFEEBAR HAMILTON,,-20.33,,ALIBI COFFEEBAR HAMILTON,Dining,
1/20/2026,,ALIBI COFFEEBAR HAMILTON,,-22.36,,ALIBI COFFEEBAR HAMILTON,Dining,
1/23/2026,,ALIBI COFFEEBAR HAMILTON,,-20.33,,ALIBI COFFEEBAR HAMILTON,Dining,
2/2/2026,,ALIBI COFFEEBAR HAMILTON,,-20.33,,ALIBI COFFEEBAR HAMILTON,Dining,
2/3/2026,,SQ *RED CHURCH CAFE & GAL Hamilton,,-18.08,,SQ *RED CHURCH CAFE & GAL Hamilton,Dining,
2/3/2026,,SQ *RED CHURCH CAFE & GAL Hamilton,,-6.78,,SQ *RED CHURCH CAFE & GAL Hamilton,Dining,
2/4/2026,,FLORA PIZZERIA HAMILTON,,-16.95,,FLORA PIZZERIA HAMILTON,Dining,
2/15/2026,,THE BURGER'S PRIEST BARRIE,,-15.81,,THE BURGER'S PRIEST BARRIE,Dining,
2/15/2026,,TST-bb.q Chicken Canad Vaughan,,-56.5,,TST-bb.q Chicken Canad Vaughan,Dining,
2/15/2026,,COCO FRESH TEA & JUICE BARRIE,,-7.8,,COCO FRESH TEA & JUICE BARRIE,Dining,
2/17/2026,,MOM'S PAN-FRIED BUNS MARKHAM,,-37.22,,MOM'S PAN-FRIED BUNS MARKHAM,Dining,
1/17/2026,,BLUE MTN FOOD & BEVERA BLUE MOUNTAIN,,-4.28,,BLUE MTN FOOD & BEVERA BLUE MOUNTAIN,Entertainment,
2/21/2026,,BLUE MTN FOOD & BEVERA BLUE MOUNTAIN,,-7.13,,BLUE MTN FOOD & BEVERA BLUE MOUNTAIN,Entertainment,
1/18/2026,,ST LOUIS BAR AND GRILL RICHMOND HILL,,-23.38,,ST LOUIS BAR AND GRILL RICHMOND HILL,Dining,
2/18/2026,,VIETNAMESE CUISINE BRAMPTON,,-19.49,,VIETNAMESE CUISINE BRAMPTON,Dining,
